key,en
"Save the current Dialogue Sequence.","Save the current Dialogue Sequence."
"Arrange the current Dialogue Sequence nodes.","Arrange the current Dialogue Sequence nodes."
"Refresh the current Dialogue Sequence.","Refresh the current Dialogue Sequence."
"Delete the selected node.","Delete the selected node."
